Year,Gasoline,E85,CNG,LNG,Propane,Diesel,B20,B2/B5,B99/B100,Electricity**,,,,,,,
2000,$1.54,$1.90,$1.02,,$1.76,$1.46,,,,,,,,,,,
2001,$1.27,$1.60,$1.19,,$1.62,$1.19,$1.35,,,,,,,,,,
2002,$1.44,$1.71,$1.17,,$1.66,$1.35,$1.47,,,,,,,,,,
2003,$1.48,$1.70,$1.35,,$2.21,$1.34,$1.60,,,,,,,,,,
2004,$1.97,$2.30,$1.56,,$2.91,$1.93,$2.05,,,,,,,,,,
2005,$2.77,$3.21,$2.12,,$3.50,$2.54,$2.67,$2.54,$3.30,,,,,,,,
2006,$2.22,$2.81,$1.77,,$3.18,$2.37,$2.43,$2.49,$3.21,,,,,,,,
2007,$2.76,$3.20,$1.77,,$3.75,$2.81,$2.82,$2.71,$3.28,,,,,,,,
2008,$3.04,$3.99,$2.01,,$4.67,$3.27,$3.69,$3.45,$4.59,,,,,,,,
2009,$2.64,$3.21,$1.86,,$3.72,$2.50,$2.63,na,$3.14,,,,,,,,
2010,$2.78,$3.45,$1.93,,$3.93,$2.75,$2.86,na,$3.76,,,,,,,,
2011,$3.46,$4.51,$2.09,,$4.23,$3.42,$3.57,na,$4.12,$1.30,,,,,,,
2012,$3.82,$4.91,$2.12,,$3.54,$3.70,$3.82,na,$4.32,$1.29,,,,,,,
2013,$3.45,$4.30,$2.09,,$4.09,$3.51,$3.67,na,$4.12,$1.28,,,,,,,
2014,$3.34,$4.07,$2.16,,$4.25,$3.38,$3.48,na,$4.15,$1.29,,,,,,,
2015,$2.35,$2.84,$2.09,,$3.97,$2.30,$2.39,na,$3.33,$1.30,,,,,,,
2016,$2.22,$2.51,$2.06,$2.43,$3.67,$2.21,$2.21,na,$3.12,$1.25,,,,,,,
2017,$2.49,$2.73,$2.17,$2.60,$3.82,$2.46,$2.41,na,$3.31,$1.26,,,,,,,
2018,$2.91,$3.10,$2.19,$2.64,$3.93,$2.99,$2.78,na,$3.57,$1.23,,,,,,,
2019,$2.68,$2.97,$2.20,$2.40,$3.79,$2.74,$2.58,na,$3.65,$1.21,,,,,,,
2020,$1.91,$2.28,$2.19,$2.43,$3.74,$2.33,$2.13,na,$3.44,$1.24,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,